Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Manuel Delgado Villegas,Male,"Spain, France, Italy",Multiple Countries,Europe,1964,1971,1967,7,1960s,48,41,7,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998."
Ershad Sikder,Male,Bangladesh,Bangladesh,Asia,1991,1999,1995,8,1990s,43,36,7,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convicted on seven counts and executed 2004.
Diego Alexánder Ruiz Restrepo,Male,Chile,Chile,South America,2018,2020,2019,2,2010s,27,20,7,"Known as the ""Psycopath of Meiggs"". Illegal Colombian immigrant who has been living in Chile since 2013, often resorting to robbing and killing homeless people. Although he has had only 8 confirmed victims, he is currently being investigated for 20 more, which, if confirmed, would turn him into the most murderous serial killer in Chilean history."
Ivan Milat,Male,Australia,Australia,Oceania,1990,,,,<NA>s,30,23,7,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.
Reta Mays,Female,United States,United States,North America,2017,2018,2017,1,2010s,20,13,7,"Nursing assistant who killed elderly military veterans at a VA hospital in Clarksburg, West Virginia by injecting them with lethal doses of insulin."
Stockton serial shootings,Male,United States,United States,North America,2021,2022,2021,1,2020s,8,1,7,"On October 15, 2022, a Stockton man, Wesley Brownlee, was arrested in connection to the shootings."
Michael Wayne McGray,Male,"Canada, United States",Multiple Countries,North America,1985,1988,1986,3,1980s,18,11,7,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010."
Łódź Gay Murderer,Unidentified,Poland,Poland,Europe,1988,1993,1990,5,1990s,7,0,7,"Unidentified serial killer who killed gay men in Łódź, estimated to have killed 7 people."
John Floyd Thomas Jr.,Male,United States,United States,North America,1957,2009,1983,52,1980s,15,8,7,Serial murderer and rapist with one of the longest criminal careers in the US.
Kenneth Erskine,Male,United Kingdom,United Kingdom,Europe,1986,1995,1990,9,1990s,11,4,7,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes."
David Carpenter,Male,United States,United States,North America,1979,1981,1980,2,1980s,11,4,7,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death."
Vladimir Kuzmin,Male,Russia,Russia,Europe,1997,2006,2001,9,2000s,11,4,7,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment."
Tommy Recco,Male,France,France,Europe,1960,1980,1970,20,1970s,10,3,7,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists."
Derrick Todd Lee,Male,United States,United States,North America,2002,2011,2006,9,2000s,10,3,7,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016."
Tomás Maldonado Cera,Male,Colombia,Colombia,South America,2002,2018,2010,16,2010s,10,3,7,"Known as ""The Satanist""; killed people in Barranquilla for the purpose of satanic rituals."
Peter Manuel,Male,United Kingdom,United Kingdom,Europe,1956,1958,1957,2,1950s,9,2,7,"Hanged in 1958 after being convicted of seven murders at a sensational trial in Glasgow, may have committed two more."
Terry Blair,Male,United States,United States,North America,1982,2004,1993,22,1990s,9,2,7,Kansas City serial killer and rapist; active 1982–2004. Sentenced to life.
Doug Clark,Male,United States,United States,North America,1980,1989,1984,9,1980s,8,1,7,"Boiler operator who killed sex workers in Los Angeles. One of the ""Sunset Strip Killers""."
Stanisław Modzelewski,Male,Poland,Poland,Europe,1952,1967,1959,15,1950s,8,1,7,"Known as ""The Vampire of Gałkówek"". Confessed to strangling eight women, but convicted of seven because one of the bodies was never found."
Michael Hughes,Male,United States,United States,North America,1986,1993,1989,7,1980s,8,1,7,Killed six women and a schoolgirl in the South Los Angeles area between 1986 and 1993.
Santa Rosa Hitchhiker Killer,Male,United States,United States,North America,1972,1973,1972,1,1970s,7,0,7,"""Santa Rosa Hitchhiker Murders"": Series of at least seven unsolved homicides involving female hitchhikers that took place in Sonoma County and Santa Rosa of the North Bay area of California in 1972 and 1973."
Roger Kibbe,Male,United States,United States,North America,1977,1987,1982,10,1980s,7,0,7,"Known as ""The I-5 Strangler"", killed 7 women between 1977 and 1987. 6 along I-5 near Sacramento, and one in Walnut Creek, California. He was tried for the Walnut Creek murder by the Grand Jury before the body was found but in exchange for helping to find the body Kibbe was spared the death penalty and received life in prison. It took detectives 34 years to find the body."
Connecticut River Valley Killer,Male,United States,United States,North America,1978,1987,1982,9,1980s,7,0,7,"Believed responsible for a series of similar knife murders mostly in and around Claremont, New Hampshire, and the Connecticut River Valley, primarily in the 1980s."
Paul Durousseau,Male,United States,United States,North America,1997,2003,2000,6,2000s,7,0,7,A former soldier who strangled several women between the ages of 17 and 26 in the southeastern United States. He had the moniker of the Jacksonville Ripper and had the reputation of being a lewd womanizer.
Todd Kohlhepp,Male,United States,United States,North America,2003,2016,2009,13,2000s,7,0,7,"A registered sex offender; Shot up a motorcycle shop in 2003, killing 4; killed 3 more victims in 2015 and 2016; is currently serving 7 life sentences for the crimes."
Darren Deon Vann,Male,United States,United States,North America,,2014,,,<NA>s,7,0,7,Confessed to the murders of at least seven women.
Aileen Wuornos,Female,United States,United States,North America,1989,1990,1989,1,1980s,7,0,7,Sex worker that shot her victims at point blank range. Executed in 2002.
Hu Daoping,Male,China,China,Asia,2003,2005,2004,2,2000s,7,0,7,"Career criminal who, following a jail escape in 1998, killed seven people during robberies."
Nikos Metaxas,Male,Cyprus,Cyprus,Asia,2016,2018,2017,2,2010s,7,0,7,"A 35-year-old Cypriot Army officer who killed five women and two children between September 2016 and August 2018. These became known as the ""Mitsero murders."" Sentenced to 7 life sentences."
José Misael Roldán Concha,Male,Chile,Chile,South America,1954,1957,1955,3,1950s,7,0,7,"Killed an iron mine worker in 1954. After being free on parole, he killed a woman and five of her seven children. Originally sentenced to death, but was later imprisoned for life after a presidential pardon."
Sataro Fukiage,Male,Japan,Japan,Asia,1906,1924,1915,18,1910s,7,0,7,Killed seven girls aged 11 to 16 and raped between 93 and 100. Hanged in 1926.
Joseph Taborsky,Male,United States,United States,North America,1950,1957,1953,7,1950s,7,0,7,"Joseph ""Mad Dog"" Taborsky was sentenced to death after brutal robberies and murders in Connecticut during the 1950s."
Václav Mrázek,Male,Czechoslovakia,Czechoslovakia,Europe,1951,1956,1953,5,1950s,7,0,7,Killed 7 women in Chomutov. Executed in 1957.
Anatoly Slivko,Male,Soviet Union,Soviet Union,Multiple continents,1961,1985,1973,24,1970s,7,0,7,"As a member of the Young Pioneers (Soviet Boy Scouts), Slivko gained the trust of 43 young boys over almost three decades, asphyxiated them until they fell unconscious, and then ritually molested, filmed, photographed and resuscitated them. The seven boys that didn't wake up were dismembered and burned. Minutes before his execution in 1989, police asked Slivko for advice in the investigation of Andrei Chikatilo's crimes."
Cincinnati Strangler,Male,United States,United States,North America,1965,1966,1965,1,1960s,7,0,7,"Raped and strangled seven mostly elderly women in Cincinnati, Ohio between 1965 and 1966. Believed to be Posteal Laskey, who was convicted of one murder and died in prison on May 29, 2007."
Émile Louis,Male,France,France,Europe,1975,1978,1976,3,1970s,7,0,7,"Bus driver that preyed on young handicapped women (seven murders) in the 1970s. Sentenced to life in prison on November 25, 2004."
Paul Steven Haigh,Male,Australia,Australia,Oceania,1978,1991,1984,13,1980s,7,0,7,Sentenced to life imprisonment without parole for the murders of seven people in Victoria.
Aleksey Sukletin,Male,Soviet Union,Soviet Union,Multiple continents,1979,1985,1982,6,1980s,7,0,7,"Known as ""The Alligator""; killed and cannibalized at least 7 girl and women from 1979 to 1985; executed 1987."
Roberto Succo,Male,"Italy, France",Multiple Countries,Europe,1981,1988,1984,7,1980s,7,0,7,"In 1986 he escaped the mental hospital where he was recluded in for murdering his parents five years earlier and began a crime spree in Europe that included burglary, hijacking, kidnapping, rape and murder and earned him the Public Enemy Number One spot in Italy, France and Switzerland. Committed suicide in prison after failing to escape a second time."
Walter E. Ellis,Male,United States,United States,North America,1986,2007,1996,21,1990s,7,0,7,"Known as ""The Milwaukee North Side Strangler""; convicted of killing 7 sex workers in Wisconsin between 1986 and 2007. Died in prison on December 1, 2013."
Harrison Graham,Male,United States,United States,North America,1987,1996,1991,9,1990s,7,0,7,Convicted of killing seven women in Philadelphia and keeping their bodies in his apartment.
Guy Georges,Male,France,France,Europe,1991,1997,1994,6,1990s,7,0,7,"Known as the ""Beast of the Bastille""; serving a life sentence for seven murders between 1991 and 1997."
Motta Navas,Male,India,India,Asia,1996,2012,2004,16,2000s,7,0,7,"Active in Kollam, Kerala, Navas was arrested and imprisoned for his first two murders in 1996 and 2007. During his final crime spree in 2012, he bludgeoned to death five elderly pavement dwellers in their sleep, always after midnight. He feigned a mental illness to avoid suspicion by the police in at least two occasions."
Paul Dennis Reid,Male,United States,United States,North America,1997,2006,2001,9,2000s,7,0,7,Reid killed the employees of restaurants he targeted for a series of robberies.
Samuel Sidyno,Male,South Africa,South Africa,Africa,1998,1999,1998,1,1990s,7,0,7,"Known as the ""Capital Hill Serial Killer"" murdered 7 people in Pretoria from 1998–1999."
Ripper Jayanandan,Male,India,India,Asia,2003,2006,2004,3,2000s,7,0,7,Killed seven people during robberies. Sentenced to death.
Sibusiso Duma,Male,South Africa,South Africa,Africa,2007,2016,2011,9,2010s,7,0,7,Murdered 7 people in the Pietermaritzburg area of KwaZulu Natal in 2007.
